,Product,Date,MERGE,SNOW%,LAND %,SEA %,DATA Count,Test_P_1,Test_P_2,Test_P_3,Test_P_4,Test_P_5
142,H13,20130419,1,19.163966643650085,28.512243055186698,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
143,H13,20130420,1,19.250721481560177,28.425488217276605,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
144,H13,20130421,0,19.250721481560177,28.425488217276605,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
145,H13,20130422,0,19.250721481560177,28.425488217276605,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
146,H13,20130423,0,19.250721481560177,28.425488217276605,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
147,H13,20130424,0,19.250721481560177,28.425488217276605,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
148,H13,20130425,1,19.33924682636639,28.33696287247039,52.32379030116322,56481,0.0,0.0,0.0,0.0,40.0
149,H13,20130426,1,19.406526088419113,28.269683610417662,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
150,H13,20130427,1,19.30560719534003,28.37060250349675,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
151,H13,20130428,1,18.8169472920097,28.859262406827074,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
152,H13,20130429,1,19.293213647067162,28.38299605176962,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
153,H13,20130430,0,19.293213647067162,28.38299605176962,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
154,H13,20130501,0,19.293213647067162,28.38299605176962,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
155,H13,20130502,1,19.197606274676446,28.478603424160337,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
156,H13,20130503,1,19.225934385014426,28.45027531382235,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
157,H13,20130504,1,19.229475398806684,28.446734300030098,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
158,H13,20130505,1,19.282590605690416,28.393619093146366,52.32379030116322,56481,0.0,0.0,0.0,0.0,20.0
